Parameter,Unit,True Value,PSO Estimate,PSO Error (%),MCMC Estimate,MCMC Error (%)
Distance,Mpc,3100.0000,3100.0002,0.00,4551.7491,46.83
Chirp Mass,M☉,30.0900,30.0946,0.02,30.0987,0.03
Merger Time,s,7.5000,7.5000,0.00,7.5000,0.00
Phase,rad,0.7854,0.7854,0.00,0.7850,0.05
Flux Ratio,,0.3333,0.0037,98.88,0.0416,87.52
Time Delay,s,0.9854,3.9729,303.18,3.3325,238.19
