Run_Number,Distance_Log10,Distance_Mpc,Distance_Error_Percent,ChirpMass_Log10,ChirpMass_Msun,ChirpMass_Error_Percent,MergerTime_s,MergerTime_Error_Percent,Phase_rad,Phase_pi,Phase_Error_Percent,FluxRatio_A,FluxRatio_Error_Percent,TimeDelay_s,TimeDelay_Error_Percent,SNR,Match,Is_Lensed,Avg_Error_Percent
1,-0.925195,0.12,99.9962,1.478489,30.0946,0.0154,7.500000,0.0000,0.785396,0.249999,0.0000,0.006554,98.0335,2.187669,122.0082,435283.5400,0.000000,False,53.3422
2,1.547609,35.29,98.8617,1.478489,30.0947,0.0155,7.500000,0.0000,0.785394,0.249999,0.0001,0.002439,99.2682,2.387275,142.2645,1465.4531,0.000000,False,56.7350
3,-1.815686,0.02,99.9995,1.478489,30.0946,0.0154,7.500000,0.0000,0.785401,0.250001,0.0001,0.009134,97.2596,3.586286,263.9422,3382697.4145,0.000000,False,76.8695
4,-0.187145,0.65,99.9790,1.478489,30.0946,0.0154,7.500000,0.0000,2.356202,0.750002,25.0001,0.002534,99.2397,1.869320,89.7016,79565.0336,0.000000,False,52.3226
5,2.517929,329.56,89.3692,1.478490,30.0947,0.0156,7.500000,0.0000,2.355974,0.749930,24.9965,0.007071,97.8786,1.163843,18.1087,156.9111,0.000000,False,38.3948
6,2.215836,164.38,94.6976,1.478490,30.0947,0.0157,7.500000,0.0000,0.785377,0.249993,0.0003,0.008103,97.5689,0.598471,39.2662,314.5965,0.000000,False,38.5915
7,3.550051,3548.55,14.4695,1.478489,30.0946,0.0154,7.500000,0.0000,2.356190,0.749999,24.9999,0.009566,97.1300,3.064231,210.9632,14.5722,0.000000,False,57.9297
8,2.142567,138.86,95.5208,1.478491,30.0948,0.0159,7.500000,0.0000,2.356014,0.749942,24.9971,0.000801,99.7596,2.518573,155.5889,372.4072,0.000000,False,62.6471
