Parameter,Unit,True Value,PSO Estimate,PSO Error (%),MCMC Estimate,MCMC Error (%)
Distance,Mpc,3100.0000,3100.0000,0.00,3099.6209,0.01
Chirp Mass,M☉,30.0900,30.0946,0.02,30.0918,0.01
Merger Time,s,7.5000,7.5000,0.00,7.5000,0.00
Phase,rad,0.7854,0.7854,0.00,0.7853,0.01
Flux Ratio,,0.3333,0.0082,97.55,0.0038,98.86
Time Delay,s,0.9854,2.1283,115.98,1.4360,45.72
