Parameter,Unit,True Value,PSO Estimate,PSO Error (%),MCMC Estimate,MCMC Error (%)
Distance,Mpc,3100.0000,0.2950,99.99,1443.9458,53.42
Chirp Mass,M☉,30.0900,30.1024,0.04,30.1294,0.13
Merger Time,s,7.5000,7.5000,0.00,7.5000,0.00
Phase,rad,0.7854,0.2447,68.85,0.2502,68.14
Flux Ratio,,0.3333,0.2050,38.50,0.1455,56.33
Time Delay,s,0.9854,1.2477,26.62,0.9952,1.00
