Metric,PSO,Bilby MCMC
Execution Time (s),700.25,3643.42
Speed Improvement,5.20x faster,baseline
SNR,25.42,24.46
Match (Signal Quality),0.8483,0.8751
Final Match,0.8483,0.8751
