run,fitness,r,m_c,tc,phi_c,A,delta_t,SNR,mismatch,flux_ratio_threshold,inverse_mass,classification
1,-1859.4281784803218,396.80733559190935,28.870827125847907,30.424706618455545,1.9194228820025292,0.7879147735115506,0.001136335556617035,43.121087399094215,0.1529168394165762,0.001075599489749889,0.03463704020813124,"Potential Lensed Signal (matches flux ratio criterion only,I)"
2,-1768.530132550076,1712.4056730565628,42.34803097088634,23.11920847582151,1.0954029670787806,0.2505588511939853,3.7883523039285887,42.053895569258216,0.15310017330333137,0.0011308826257408256,0.023613848792343746,Lensed Signal (matches both criteria)
3,-1836.3574953140053,7390.469204914143,32.655269962203334,23.65572477172543,1.43840677618243,0.7489811107828275,0.0013276063031365736,42.85274198127823,0.15276394611979882,0.0010891125530315179,0.03062292858572122,"Potential Lensed Signal (matches flux ratio criterion only,I)"
4,-1274.2746773078698,310.9653059126636,134.321488318055,5.415588594808591,0.15964946600923502,0.7536261436979357,0.014391602447607782,35.6969841486346,0.1540341850788648,0.0015695203205523577,0.0074448251915742334,Lensed Signal (matches both criteria)
5,-1745.8287971498198,0.321096693127107,41.72806204047759,24.475055419363436,1.1355081517753938,0.2987030047454006,0.5567592055635463,41.783116173280085,0.15317462527087644,0.0011455877021075212,0.02396468829609118,Lensed Signal (matches both criteria)
6,-3085.1781942530965,2583.489233109026,35.95411714267195,23.37363079348237,1.276258025513406,0.8265408811360353,0.001425893038475259,55.54438040209915,0.15087437061077003,0.0006482607726599042,0.027813226397183744,"Potential Lensed Signal (matches flux ratio criterion only,I)"
7,-6032.8363444689185,0.7494578845358191,31.349270077787658,28.53139453995935,0.5375822566950329,0.06307454473452129,3.8925059938722675,77.67133541061926,0.14622776545035399,0.00033151902120362654,0.031898669331651974,Lensed Signal (matches both criteria)
8,-1197.269970438944,2180.378117083035,46.475564181333176,22.08522583152149,1.1436014469943947,0.8226271817362749,0.533022646535977,34.601589131699484,0.15396432078135813,0.001670467020288464,0.02151668339298285,Lensed Signal (matches both criteria)
best,-6032.8363444689185,0.7494578845358191,31.349270077787658,28.53139453995935,0.5375822566950329,0.06307454473452129,3.8925059938722675,77.67133541061926,0.14622776545035399,0.00033151902120362654,0.031898669331651974,Lensed Signal (matches both criteria)
