Parameter,Actual Value,Estimated Value,Relative Error (%)
Chirp Mass (M⊙),30.09,30.098592762550073,0.028556871219916978
Merger Time (s),7.5,7.499998956901625,1.3907978330488882e-05
Source Distance (Mpc),3100.0,53.97663894061986,98.25881809868969
Flux Ratio (A),0.3333,0.3623324718229755,8.710612608153474
Time Delay (s),0.9854,0.930982004664723,5.522426967249546
Phase (rad/2π),0.25,0.3746350413998081,12.463504139980808
