Parameter,Unit,True Value,PSO Estimate,PSO Error (%),MCMC Estimate,MCMC Error (%)
Distance,Mpc,3100.0000,3102.1317,0.07,3102.4734,0.08
Chirp Mass,M☉,30.0900,30.0948,0.02,30.0964,0.02
Merger Time,s,7.5000,7.5002,0.00,7.5000,0.00
Phase,rad,0.7854,0.7621,2.97,0.7847,0.09
Flux Ratio,,0.3333,0.3338,0.16,0.3339,0.19
Time Delay,s,0.9854,0.9854,0.00,0.9854,0.00
