Parameter,Actual,PSO Estimate,Bilby MCMC Estimate,PSO Error (%),Bilby MCMC Error (%)
Distance (Mpc),3100.0,0.1454695847634885,32.0107391554452,99.99530743274957,98.96739551111467
Chirp Mass (M⊙),30.09,30.086736476890604,30.092059530662265,0.010845872746414955,0.0068445685020447795
Merger Time (s),7.5,7.500011350214856,7.7502439292658165,0.00015133619807983223,3.33658572354422
Phase (rad/π),0.25,0.2641745343649543,0.25452816885496493,0.7087267182477155,0.22640844274824612
Flux Ratio (A),0.3333,0.01652618413671724,0.008276983415119989,95.0416489238772,97.51665664112811
Time Delay (s),0.9854,2.1541208763971693,3.8596315854383474,118.60370168430781,291.68171153220493
