Parameter,Actual,PSO Estimate,Bilby MCMC Estimate,PSO Error (%),Bilby MCMC Error (%)
Distance (Mpc),3100.0,4065.3585193806894,0.20797666049935495,31.140597399377075,99.99329107546777
Chirp Mass (M⊙),30.09,30.101478668419787,30.132538918308725,0.03814778471182252,0.14137227752982875
Merger Time (s),7.5,7.49998099453617,7.499965324352041,0.00025340618440357804,0.00046234197278967787
Phase (rad/2π),0.25,0.3730915647894762,0.12458503629239366,24.809156478947617,0.041496370760634546
Flux Ratio (A),0.3333,0.28654044328641365,0.14534162620013696,14.029269941070007,56.393151455104416
Time Delay (s),0.9854,0.824987694293145,0.995227375675629,16.27890254788462,0.9972981201165992
