Parameter,Unit,True_Value,PSO_Estimate,PSO_Error_Percent,MCMC_Estimate,MCMC_Error_Percent
Distance,Mpc,3100.0000,3100.2413,0.01,3100.0266,0.00
Chirp Mass,M☉,30.0900,30.0961,0.02,30.0942,0.01
Merger Time,s,7.5000,7.5000,0.00,7.5000,0.00
Phase,rad,0.7854,0.7838,0.20,0.7878,0.30
Flux Ratio,,0.3333,0.0012,99.64,0.0016,99.51
Time Delay,s,0.9854,1.0234,3.86,1.5973,62.10
