run,fitness,r,m_c,tc,phi_c,A,delta_t,SNR_optimal,SNR_pycbc,correlation,mismatch,two_step_match_result,two_step_is_lensed,classification,classification_correct,actual_is_lensed,parameter_r_error,parameter_m_c_error,parameter_tc_error,parameter_A_error,parameter_delta_t_error
1,-562.9687542665218,749.056180043615,41.7744264685972,5.047036563032001,0.7196713600303634,0.6030688609213223,0.916637053679129,562.9687542665218,5.137778513152539,0.0800579035198713,0.6647324505117354,This is noise,False,noise,False,False,0.0,0.0,0.0,0.0,0.0
best,-562.9687542665218,749.056180043615,41.7744264685972,5.047036563032001,0.7196713600303634,0.6030688609213223,0.916637053679129,,5.137778513152539,0.0800579035198713,0.6647324505117354,This is noise,False,noise,False,False,0.0,0.0,0.0,0.0,0.0
