Parameter,Actual Value,Estimated Value,Relative Error (%)
Chirp Mass (M⊙),30.09,41.7744264685972,38.83159344831239
Merger Time (s),7.5,5.047036563032001,32.706179159573324
Source Distance (Mpc),3100.0,749.056180043615,75.83689741794791
Flux Ratio (A),0.3333,0.6030688609213223,80.93875215161185
Time Delay (s),0.9854,0.916637053679129,6.978176001712106
Phase (rad/2π),0.25,0.3598356800151817,10.983568001518169
