Parameter,Unit,True Value,PSO Estimate,PSO Error (%),MCMC Estimate,MCMC Error (%)
Distance,Mpc,3100.0000,20.3198,99.34,0.1677,99.99
Chirp Mass,M☉,30.0900,30.0946,0.02,30.0814,0.03
Merger Time,s,7.5000,7.5000,0.00,7.5012,0.02
Phase,rad,0.7854,0.7500,4.51,0.7699,1.97
Flux Ratio,,0.3333,0.0041,98.77,0.0031,99.06
Time Delay,s,0.9854,3.2194,226.71,3.4614,251.27
