Parameter,Unit,True Value,PSO Estimate,PSO Error (%),MCMC Estimate,MCMC Error (%)
Distance,Mpc,3100.0000,2.3464,99.92,57.0008,98.16
Chirp Mass,M☉,30.0900,29.9474,0.47,30.1321,0.14
Merger Time,s,7.5000,7.5034,0.05,7.5000,0.00
Phase,rad,0.7854,0.0458,94.16,0.2475,68.49
Flux Ratio,,0.3333,0.6062,81.89,0.1481,55.55
Time Delay,s,0.9854,0.8230,16.48,0.9953,1.00
