Parameter,Actual,PSO Estimate,Bilby MCMC Estimate,PSO Error (%),Bilby MCMC Error (%)
Distance (Mpc),3100.0,0.4005660367368837,39.45939688692391,99.98707851494397,98.72711622945407
Chirp Mass (M⊙),30.09,30.098721982544703,30.103013625039978,0.02898631620040848,0.04324900312388813
Merger Time (s),7.5,7.499941399171045,6.816393509175173,0.0007813443860626989,9.114753210997696
Phase (rad/π),0.25,0.24238204605445923,0.7447743974398554,0.3808976972770383,24.738719871992775
Flux Ratio (A),0.3333,0.0012373267478417171,0.000764197521182898,99.6287648521327,99.77071781542666
Time Delay (s),0.9854,0.7978220682583641,1.9199395902173497,19.0357146074321,94.83860261998677
