Parameter,Unit,True Value,PSO Estimate,PSO Error (%),MCMC Estimate,MCMC Error (%)
Distance,Mpc,3100.0000,22.7078,99.27,97.0441,96.87
Chirp Mass,M☉,30.0900,30.1009,0.04,30.1303,0.13
Merger Time,s,7.5000,7.5000,0.00,7.5000,0.00
Phase,rad,0.7854,0.2493,68.25,0.2475,68.48
Flux Ratio,,0.3333,0.2721,18.35,0.1466,56.00
Time Delay,s,0.9854,0.9277,5.86,0.9952,0.99
