Parameter,Unit,True Value,PSO Estimate,PSO Error (%),MCMC Estimate,MCMC Error (%),Refinement Status
Distance,Mpc,3100.0000,1589.8727,48.71,1588.9865,48.74,"PSO (Refined, conf: 0.00), MCMC (Refined, conf: 0.00)"
Chirp Mass,M☉,30.0900,30.1370,0.16,30.1304,0.13,
Merger Time,s,7.5000,7.5000,0.00,7.5000,0.00,
Phase,rad,0.7854,0.2547,67.57,0.7487,4.67,
Flux Ratio,,0.3333,0.1469,55.94,0.1452,56.45,
Time Delay,s,0.9854,0.9953,1.01,0.9952,1.00,
