方法,未透镜化信号SNR,透镜化信号SNR,透镜增强倍数
PyCBC,120.96589723636271,220.81840764678486,1.8254600072557159
内积方法,7554775.082064733,14037963.839889994,1.8581577462466816
直接计算,0.12683188694749348,0.2340868164561169,1.8456464071454315
